ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
85.0161817,-1.3286954,0.0232,0.0265,-0.0079,7.751,0.016,68.4,4.865E+01,7.774,0.014,80.1,5.535E+01,1,0,0000,AA,0,59838.09293205,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.118083,41.408318
85.0161779,-1.3286846,0.0251,0.0239,-0.0031,8.097,0.014,78.2,1.061E+00,8.079,0.013,85.5,9.167E-01,1,0,0000,AA,10,60205.13270424,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.142814,26.817226
85.0161950,-1.3286947,0.0247,0.0226,-0.0081,7.758,0.015,73.6,2.626E+00,7.782,0.012,90.5,2.256E+00,1,0,0000,AA,5,59474.22656436,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.155452,54.131131
85.0161900,-1.3286884,0.0248,0.0237,-0.0054,7.823,0.018,61.3,1.296E+00,7.794,0.013,85.5,4.167E+00,1,0,0000,AA,5,60205.39183665,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.156843,43.504439
85.0161967,-1.3286912,0.0287,0.0271,-0.0132,7.765,0.019,56.9,8.231E+00,7.785,0.014,78.1,5.559E+00,1,0,0000,AA,5,59474.16124010,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.167926,51.869781
85.0161789,-1.3286762,0.0274,0.0247,0.0022,7.745,0.018,59.4,1.705E+00,7.852,0.013,80.6,3.381E+00,1,0,0000,AA,5,59841.67978381,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.171736,23.334924
85.0161870,-1.3286795,0.0262,0.0244,-0.0097,7.963,0.016,68.8,9.519E-01,7.956,0.012,90.1,1.587E+00,1,0,0000,AA,10,59840.96248992,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.175221,33.682957
85.0161836,-1.3286763,0.0269,0.0256,-0.0098,7.756,0.015,72.0,3.936E+00,7.757,0.014,80.2,1.277E+00,1,0,0000,AA,10,59837.96241083,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.178797,28.364635
85.0161991,-1.3286889,0.0272,0.0250,-0.0082,7.785,0.019,58.0,3.537E+00,7.795,0.013,85.3,2.988E+00,1,0,0000,AA,10,60205.45652421,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.179824,51.493880
85.0161900,-1.3286793,0.0273,0.0242,-0.0050,7.735,0.017,65.5,1.381E+00,7.775,0.014,76.8,2.342E+00,1,0,0000,AA,10,60205.58615458,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.182017,36.386596
85.0162019,-1.3286906,0.0256,0.0240,-0.0109,7.794,0.014,76.6,1.664E+01,7.746,0.012,92.8,9.769E+00,1,0,0000,AA,0,59267.97126411,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.184236,54.936544
85.0161885,-1.3286774,0.0322,0.0268,-0.0099,7.842,0.015,70.6,3.143E+00,7.772,0.015,71.3,1.528E+00,1,0,0000,AA,10,58378.78442523,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.184492,33.775960
85.0162042,-1.3286912,0.0247,0.0234,-0.0105,7.803,0.016,67.2,1.236E+00,7.818,0.012,88.6,1.899E+00,1,0,0000,AA,10,59996.09907713,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.189892,56.905342
85.0162016,-1.3286866,0.0266,0.0222,0.0051,7.911,0.015,74.6,5.975E+00,7.771,0.013,86.1,2.980E+00,1,0,0000,AA,10,58378.91532863,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.192019,51.232034
85.0162028,-1.3286881,0.0273,0.0233,-0.0117,7.785,0.014,78.6,5.263E+00,7.753,0.013,86.6,2.702E+00,1,0,0000,AA,5,59473.96513999,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.192142,53.294456
85.0161600,-1.3286659,0.0257,0.0218,-0.0074,7.752,0.016,66.6,1.878E+01,7.748,0.013,86.6,5.074E+00,1,0,0000,AA,10,58014.30095684,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.194755,0.000000
85.0161976,-1.3286803,0.0266,0.0216,-0.0061,7.837,0.014,76.4,5.481E+00,7.822,0.012,90.0,2.622E+00,1,0,0000,AA,5,59840.70170207,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.196829,43.436143
85.0162073,-1.3286922,0.0265,0.0253,-0.0067,7.920,0.017,62.4,2.371E+00,7.922,0.013,81.1,2.746E+00,1,0,0000,AA,10,60205.26233407,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.197476,59.548904
85.0161945,-1.3286748,0.0260,0.0224,-0.0047,7.915,0.015,72.4,9.921E-01,7.927,0.013,86.0,1.922E+00,1,0,0000,AA,10,59996.22921683,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.204688,37.346135
85.0162150,-1.3287037,0.0233,0.0242,-0.0084,7.831,0.020,54.8,3.723E+00,7.765,0.011,95.2,1.433E+00,1,0,0000,AA,10,59631.38800093,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.206457,73.487894
85.0161977,-1.3286764,0.0273,0.0230,-0.0082,7.760,0.016,68.9,1.064E+00,7.784,0.013,84.8,1.375E+00,1,0,0000,AA,10,59264.89910564,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.207484,40.841658
85.0162012,-1.3286785,0.0275,0.0233,-0.0063,7.715,0.018,61.1,2.158E+00,7.721,0.013,82.0,3.331E+00,1,0,0000,AA,10,59267.84048791,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.210490,44.784453
85.0161870,-1.3286666,0.0272,0.0223,-0.0075,8.164,0.015,74.7,1.832E+00,8.146,0.012,87.3,1.032E+00,1,0,0000,AA,10,59996.48898689,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.215414,26.815778
85.0162138,-1.3287482,0.0249,0.0226,-0.0076,7.912,0.016,68.8,2.401E+01,7.848,0.012,87.8,7.380E+00,1,0,0000,AA,10,59838.54931078,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.218635,117.668228
85.0162121,-1.3286867,0.0207,0.0220,-0.0066,8.127,0.014,78.3,2.738E+00,8.078,0.011,94.9,2.525E+00,1,0,0000,AA,10,57447.96273251,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.222554,57.408106
85.0161980,-1.3286710,0.0259,0.0228,-0.0059,7.725,0.016,69.2,1.017E+00,7.790,0.013,84.9,1.487E+00,1,0,0000,AA,10,58378.32639089,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.223211,37.786482
85.0161991,-1.3286704,0.0285,0.0266,-0.0133,8.452,0.018,61.7,3.292E+00,8.435,0.015,74.3,3.975E+00,1,0,0000,AA,10,58742.99921698,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.227341,38.241450
85.0161909,-1.3286648,0.0257,0.0242,0.0085,7.729,0.019,56.3,1.433E+00,7.761,0.012,91.3,1.710E+00,1,0,0000,AA,10,59631.64917140,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.227715,29.232777
85.0161951,-1.3286670,0.0233,0.0231,-0.0091,7.715,0.018,59.6,2.124E+00,7.773,0.011,97.5,1.208E+00,1,0,0000,AA,10,59110.49559050,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.228832,33.507989
85.0162217,-1.3287024,0.0266,0.0237,-0.0097,7.754,0.013,80.6,8.926E+00,7.807,0.013,83.0,4.831E+00,1,0,0000,AA,5,59837.83201693,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.230928,74.075072
85.0161936,-1.3286650,0.0266,0.0249,-0.0091,7.764,0.015,71.4,1.097E+00,7.807,0.014,79.2,1.621E+00,1,0,0000,AA,10,59632.10644274,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.232010,31.414284
85.0161877,-1.3286617,0.0256,0.0230,-0.0115,7.753,0.015,74.3,3.184E+00,7.760,0.012,90.4,1.923E+00,1,0,0000,AA,5,59837.70162299,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.232356,25.407760
85.0162173,-1.3286898,0.0252,0.0262,-0.0095,7.765,0.019,56.7,9.138E-01,7.785,0.013,85.5,1.735E+00,1,0,0000,AA,10,59995.77372781,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.233127,62.202145
85.0161896,-1.3286623,0.0256,0.0212,-0.0057,7.760,0.015,73.3,1.179E+00,7.809,0.012,88.6,2.802E+00,1,0,0000,AA,10,59838.28852297,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.233451,27.151489
85.0162155,-1.3286851,0.0265,0.0239,0.0076,8.113,0.020,53.3,1.761E+00,8.147,0.012,91.1,2.699E+00,1,0,0000,AA,10,60205.00332902,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.235966,57.830192
85.0162184,-1.3286896,0.0266,0.0238,-0.0085,8.353,0.014,77.8,1.490E+00,8.335,0.013,86.6,2.012E+00,1,0,0000,AA,10,59841.15808080,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.236965,62.494551
85.0162135,-1.3286813,0.0263,0.0238,-0.0095,7.771,0.014,79.5,4.623E+00,7.773,0.013,85.2,1.481E+00,1,0,0000,AA,5,58378.06458436,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.237662,54.112042
85.0162007,-1.3286673,0.0231,0.0218,-0.0088,7.772,0.014,75.1,8.841E-01,7.815,0.012,93.4,1.311E+00,1,0,0000,AA,10,59474.61863785,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.239681,37.671313
85.0161952,-1.3286634,0.0278,0.0244,-0.0067,8.319,0.014,80.0,1.018E+00,8.309,0.014,76.2,7.501E-01,1,0,0000,AA,10,58742.93376535,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.239937,31.870908
85.0162095,-1.3286752,0.0293,0.0245,0.0010,7.795,0.018,62.0,3.929E+00,7.840,0.013,82.3,5.664E+00,1,0,0000,AA,5,59631.97579380,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.240310,47.845649
85.0162126,-1.3286779,0.0284,0.0241,-0.0080,8.013,0.017,62.7,1.603E+00,8.032,0.012,86.9,1.467E+00,1,0,0000,AA,10,57283.61595313,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.242502,51.319394
85.0162113,-1.3286757,0.0247,0.0246,-0.0087,7.764,0.019,57.2,1.120E+00,7.757,0.013,86.4,1.110E+00,1,0,0000,AA,10,59631.51864981,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.243978,49.180203
85.0162156,-1.3286810,0.0237,0.0213,-0.0071,7.797,0.013,82.9,3.887E+00,7.792,0.012,92.7,1.348E+00,1,0,0000,AA,10,59109.84209325,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.244442,54.945445
85.0162138,-1.3286785,0.0284,0.0225,-0.0051,7.757,0.017,64.1,1.464E+00,7.755,0.013,86.2,1.500E+00,1,0,0000,AA,10,59473.63839134,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.244558,52.346836
85.0162209,-1.3286892,0.0247,0.0190,0.0037,8.473,0.014,77.9,2.686E+01,8.350,0.012,94.1,3.032E+00,1,0,0000,AA,10,57088.67837293,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.245637,63.165921
85.0161997,-1.3286637,0.0262,0.0245,0.0015,8.244,0.016,66.1,1.212E+00,8.237,0.013,80.8,1.999E+00,1,0,0000,AA,10,58900.73197978,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.247972,35.182359
85.0161928,-1.3286594,0.0241,0.0228,-0.0086,7.787,0.015,73.6,3.022E+00,7.785,0.012,89.0,4.580E+00,1,0,0000,AA,10,60205.52083035,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.248048,28.418202
85.0162095,-1.3286717,0.0328,0.0257,-0.0090,8.118,0.019,57.5,8.367E+00,8.066,0.014,79.3,8.950E+00,1,0,0000,AA,10,59838.81009858,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.248941,45.695279
85.0162054,-1.3286671,0.0262,0.0231,0.0047,7.748,0.016,66.0,3.536E+00,7.751,0.012,89.6,1.956E+00,1,0,0000,AA,10,58014.16992615,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.250926,40.629340
85.0162077,-1.3286689,0.0318,0.0263,-0.0106,7.747,0.019,57.5,2.792E+00,7.754,0.016,66.8,1.690E+00,1,0,0000,AA,10,58536.17575263,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.251621,43.021376
85.0161790,-1.3286527,0.0271,0.0243,-0.0057,7.716,0.018,61.7,2.933E+00,7.786,0.013,82.6,3.320E+00,1,0,0000,AA,10,59474.48798936,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.251753,15.761299
85.0162214,-1.3286854,0.0260,0.0238,-0.0068,7.817,0.015,72.8,4.273E+00,7.842,0.013,85.8,1.328E+00,1,0,0000,AA,5,59109.51508997,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.253659,60.591372
85.0162104,-1.3286706,0.0259,0.0229,0.0079,8.010,0.016,68.8,2.016E+00,8.026,0.013,82.7,1.275E+00,1,0,0000,AA,10,59264.50639503,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.254031,45.566385
85.0162104,-1.3286700,0.0245,0.0227,-0.0098,7.739,0.017,65.2,1.539E+00,7.761,0.012,90.7,2.090E+00,1,0,0000,AA,10,60205.97466218,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.255552,45.220566
85.0162118,-1.3286713,0.0247,0.0224,-0.0097,7.874,0.013,85.0,2.104E+00,7.894,0.013,84.6,1.391E+00,1,0,0000,AA,10,60205.32702169,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.255921,46.759084
85.0162077,-1.3286669,0.0260,0.0232,-0.0052,8.461,0.013,82.2,1.909E+00,8.442,0.014,80.1,1.824E+00,1,0,0000,AA,10,59841.28847470,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.256934,41.925855
85.0162000,-1.3286607,0.0270,0.0242,-0.0135,7.803,0.014,78.2,3.183E+00,7.809,0.013,86.4,1.697E+00,1,0,0000,AA,10,59632.04111824,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.257485,33.993950
85.0162103,-1.3286690,0.0221,0.0217,-0.0055,7.789,0.015,72.9,1.549E+00,7.774,0.011,99.9,1.554E+00,1,0,0000,AA,10,60205.65084215,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.257833,44.596380
85.0161920,-1.3286558,0.0267,0.0225,-0.0088,7.785,0.014,76.8,6.987E+00,7.765,0.012,89.4,2.698E+00,1,0,0000,AA,5,59473.76903983,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.258218,26.487459
85.0161892,-1.3286543,0.0260,0.0246,-0.0071,7.841,0.018,61.7,5.431E+00,7.862,0.012,87.7,2.020E+00,1,0,0000,AA,5,59632.36761326,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.258821,23.956772
85.0162230,-1.3286846,0.0312,0.0291,-0.0151,7.773,0.019,56.3,4.046E+00,7.796,0.016,67.4,4.470E+00,1,0,0000,AA,10,59267.57906287,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.260095,60.661581
85.0162087,-1.3286664,0.0239,0.0222,-0.0079,7.774,0.014,77.6,6.847E-01,7.794,0.012,92.2,1.371E+00,1,0,0000,AA,5,57089.53204737,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.260676,42.250055
85.0161869,-1.3286526,0.0270,0.0263,-0.0068,8.448,0.015,70.1,5.690E+00,8.469,0.014,79.0,5.626E+00,1,0,0000,AA,10,59841.22276841,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.261237,21.752123
85.0162119,-1.3286690,0.0271,0.0237,-0.0103,7.798,0.015,73.0,3.168E+00,7.809,0.013,83.0,1.474E+00,1,0,0000,AA,10,57647.51724122,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.261923,45.493414
85.0161976,-1.3286574,0.0258,0.0227,-0.0088,7.760,0.014,75.2,1.171E+00,7.807,0.012,87.1,1.764E+00,1,0,0000,AA,10,59631.91046929,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.262877,30.983869
85.0162086,-1.3286654,0.0268,0.0239,-0.0111,7.862,0.014,78.8,3.234E+00,7.858,0.013,84.6,1.614E+00,1,0,0000,AA,10,59996.16363762,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.263110,41.664945
85.0161963,-1.3286565,0.0330,0.0259,-0.0091,7.783,0.019,57.8,1.302E+01,7.773,0.014,78.6,2.062E+01,1,0,g000,AA,5,59474.16111279,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.263290,29.747960
85.0161947,-1.3286556,0.0267,0.0274,-0.0113,8.080,0.019,58.0,1.988E+00,8.079,0.014,79.3,2.340E+00,1,0,0000,AA,10,59838.81022589,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.263344,28.310237
85.0162192,-1.3286770,0.0269,0.0260,-0.0052,8.110,0.017,63.4,2.063E+01,8.158,0.013,82.3,6.030E+00,1,0,0000,AA,5,60205.00320170,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.263362,53.999844
85.0162110,-1.3286674,0.0256,0.0238,-0.0063,7.824,0.017,63.9,3.944E+00,7.899,0.012,91.9,5.920E+00,1,0,0000,AA,5,59264.63755323,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.263720,44.107494
